순번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호
335,센텀타워치과의원,치과의원,"부산광역시 해운대구 센텀2로 20, 1501-1502호 (우동, 센텀타워메디칼)",051-743-0012
336,스펀지성형외과의원,의원,"부산광역시 해운대구 센텀2로 19, 302,303호 (우동, 센텀코아 )",051-747-4876
337,진한의원,한의원,"부산광역시 해운대구 해운대로 794, 601호 (좌동, 삼정엘리움)",051-714-0040
338,수플러스치과의원,치과의원,"부산광역시 해운대구 아랫반송로 17, 3층 (반송동)",051-545-2879
339,스마트치과의원,치과의원,"부산광역시 해운대구 선수촌로 109-1, 아시아드몰401층 (반여동)",051-527-2879
340,젠의원,의원,"부산광역시 해운대구 센텀남대로 50, A904호 (우동, 센텀임페리얼)",051-918-7755
341,센텀루이스치과의원,치과의원,"부산광역시 해운대구 센텀북대로 60, 201호 (재송동, 센텀아이에스타워)",051-780-8275
342,제니스여성한의원,한의원,"부산광역시 해운대구 마린시티2로 33, 104동 421~2호 (우동, 제니스스퀘어)",051-746-5141
343,사랑가득한의원,한의원,"부산광역시 해운대구 재반로 202, 2층 (반여동)",051-781-3681
344,반여센텀치과의원,치과의원,"부산광역시 해운대구 선수촌로 7, 5층 (반여동, 반여센텀메디컬)",051-525-7528
345,사랑이꽃피는한의원,한의원,"부산광역시 해운대구 좌동순환로 506, 영풍리젠시 302,303,404,803호 (중동)",051-747-8889
346,당신이소중한치과의원,치과의원,"부산광역시 해운대구 마린시티2로 33, 104동 729~731호 (우동, 해운대두산위브더제니스)",051-744-2877
347,사과나무치과의원,치과의원,"부산광역시 해운대구 신반송로 171, 상가동 202호 (반송동, 삼한그린타운1차)",051-544-7528
348,굿모닝가정의원,의원,부산광역시 해운대구 재반로165번길 112 (재송동),051-783-1988
349,연세소울정신건강의학과의원,의원,"부산광역시 해운대구 해운대로 794, 504호 (좌동, 삼정엘리움)",051-791-0675
350,올바른내과의원,의원,"부산광역시 해운대구 중동1로 17, 3층 (중동, 해정빌딩)",051-743-7505
351,본한의원,한의원,부산광역시 해운대구 반송로924번길 14-2 (반송동),051-545-1013
352,미다스의원,의원,"부산광역시 해운대구 센텀2로 20, 803호 (우동, 센텀타워메디컬)",1588-3019
353,효성시티치과의원,치과의원,"부산광역시 해운대구 해운대로 133, 2층 (재송동, 효성시티병원 별관)",051-781-7528
354,센텀외과의원,의원,"부산광역시 해운대구 해운대로 407, 301호 (우동, 신세계프라자)",051-704-7222
355,참나무향한의원,한의원,"부산광역시 해운대구 좌동순환로 173, 5층 501호 (좌동, 영풍프라자)",051-626-1246
356,이미지플러스치과의원,치과의원,"부산광역시 해운대구 해운대로 794, 502호 (좌동,삼정엘리움)",051-930-0555
357,서강약손한의원.강내과의원,한의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 202호 (중동)",051-714-5789
358,강내과의원·서강약손한의원,의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 202호 (중동)",051-714-5789
359,센텀에코의원,의원,"부산광역시 해운대구 센텀중앙로 145, 상가 7동 202-2호 (재송동, 더샵센텀파크1차아파트)",051-731-1522
360,굿모닝치과의원,치과의원,"부산광역시 해운대구 해운대로 794, 엘리움 401호 (좌동)",051-930-0930
361,연세의원,의원,"부산광역시 해운대구 선수촌로 109-1, 301호 (반여동, 아시아드몰)",051-525-8175
362,삼성뉴방외과의원,의원,"부산광역시 해운대구 해운대로 794, 603호 (좌동, 삼정엘리움)",051-703-3651
363,유정의원,의원,"부산광역시 해운대구 송정중앙로 25, 2층 (송정동)",051-703-7934
364,경희본한의원,한의원,"부산광역시 해운대구 아랫반송로21번길 2, 2층 (반송동)",051-544-1075
365,2080치과의원,치과의원,"부산광역시 해운대구 아랫반송로 12, 2층 (반송동, 서울메디컬센터)",051-583-2080
366,바로본항외과의원,의원,"부산광역시 해운대구 세실로 64, 201-3호 (좌동, 화목데파트)",051-754-7007
367,나래마취통증의학과의원,의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 505~508호 (중동)",051-701-5151
368,연세뉴욕치과의원,치과의원,"부산광역시 해운대구 센텀남대로 50, A1401호 (우동, 센텀임페리얼타워)",051-741-5955
369,삼정한의원,한의원,"부산광역시 해운대구 센텀2로 10, 401호 (우동,센텀메디컬센타)",051-747-3587
370,임페리어의원,의원,"부산광역시 해운대구 해운대해변로 163 (우동, 현대베네시티아파트)",1577-6346
371,천리안안과의원,의원,"부산광역시 해운대구 재반로 199, 2층 (반여동, 새아빌딩)",051-781-7575
372,유창현외과의원,의원,"부산광역시 해운대구 센텀3로 32, 402호 (우동, 트럼프월드센텀2 상가)",051-747-0400
373,예미안치과의원,치과의원,"부산광역시 해운대구 선수촌로 102, 2층 (반여동)",051-532-2875
374,스마일정경우비뇨기과의원,의원,"부산광역시 해운대구 센텀2로 20, 203호 (우동, 센텀타워메디컬)",051-744-8181
375,뷰센스의원,의원,"부산광역시 해운대구 세실로 43, 606호 (좌동)",051-703-3996
376,결치과의원,치과의원,"부산광역시 해운대구 중동1로 25-2, 2층 (중동)",051-744-7528
377,비치안의원,의원,"부산광역시 해운대구 좌동로 88, 3층 (좌동)",051-701-0752
378,맑은샘내과의원,의원,"부산광역시 해운대구 윗반송로 68, 2층 (반송동)",051-543-8275
379,해운대구보건소 재반지소,보건지소,"부산광역시 해운대구 해운대로61번길 28 (재송동, 재반보건지소)",051-749-6532
380,세현한의원,한의원,"부산광역시 해운대구 좌동순환로 175, 대아프라자 5층 (좌동)",051-704-4375
381,보명당한의원,한의원,"부산광역시 해운대구 좌동순환로 176, 2층 (좌동, 장산빌딩)",051-702-2175
382,미안의원,의원,"부산광역시 해운대구 해운대로 369, 6층 (우동, 해운대센텀메디컬)",051-746-2044
383,튼튼어린이치과의원,치과의원,"부산광역시 해운대구 선수촌로 66, 3층 (반여동)",051-528-1275
384,고든몸한의원,한의원,"부산광역시 해운대구 좌동순환로 173, 203호 (좌동, 영풍프라자)",051-701-8733
385,센텀소중한눈안과의원,의원,"부산광역시 해운대구 센텀남대로 50, 1402호 (우동, 센텀임페리얼타워)",051-920-7788
386,엘스타의원,의원,"부산광역시 해운대구 해운대해변로 277, 다옴빌딩 4층 일부호 (중동)",051-741-8225
387,리치치과의원,치과의원,부산광역시 해운대구 구남로 27 (중동),051-741-8833
388,해인치과의원,치과의원,"부산광역시 해운대구 좌동순환로 502, 201호 (중동, 이름타워)",051-742-3344
389,장성봉일침한의원,한의원,"부산광역시 해운대구 중동2로 7, 4층 (중동)",051-747-1721
390,센텀린의원,의원,"부산광역시 해운대구 센텀남대로 50, 1001~3호 (우동, 센텀임페리얼타워)",051-920-7979
391,심재원한의원,한의원,"부산광역시 해운대구 구남로 27, 해운대오피스 2층, 지하1층 (중동)",051-731-0078
392,센텀수한의원,한의원,"부산광역시 해운대구 센텀동로 9, 2층 223호 (우동, 트럼프월드센텀아파트)",051-741-3357
393,성모이비인후과의원,의원,"부산광역시 해운대구 해운대로 413, 2층 (우동)",051-741-5353
394,박영숙정신건강의학과의원,의원,"부산광역시 해운대구 센텀2로 20, 804호 (우동, 센텀타워메디칼)",051-525-2175
395,재송한의원,한의원,"부산광역시 해운대구 해운대로161번길 44, 1층 (재송동)",051-781-9977
396,참고운치과의원,치과의원,"부산광역시 해운대구 아랫반송로 37, 3층 (반송동)",051-544-8275
397,제나이비인후과의원,의원,"부산광역시 해운대구 센텀2로 15, 401호 (우동, 센텀브라이언빌딩)",051-746-0065
398,해피덴치과의원,치과의원,"부산광역시 해운대구 선수촌로 94, 4층 (반여동)",051-529-2879
399,예쁜미소바른이치과의원,치과의원,"부산광역시 해운대구 센텀남대로 50, 803호 (우동, 센텀임페리얼타워)",051-920-7755
400,건강한장내과의원,의원,"부산광역시 해운대구 아랫반송로21번길 2, 3~4층 (반송동)",051-543-1088
401,영광한의원,한의원,"부산광역시 해운대구 해운대로 1190, 2동 (송정동)",051-701-7542
402,상쾌한위앤장내과의원,의원,"부산광역시 해운대구 재반로 169, 지하1층,1층일부,2~5층 (재송동)",051-784-8276
403,센텀뉴욕치과의원,치과의원,"부산광역시 해운대구 센텀남대로 50, 401호 (우동, 센텀임페리얼)",051-717-2853
404,VS성형외과의원,의원,"부산광역시 해운대구 센텀2로 10, 501호 (우동, 센텀메디컬센터)",051-746-0999
405,소통마취통증의학과의원(의원471),의원,부산광역시 해운대구 아랫반송로 17 (반송동),051-543-7511
406,미소를만드는치과교정과치과의원,치과의원,"부산광역시 해운대구 해운대로 814, B동 520,521호 (좌동, 세종월드프라자)",051-701-2875
407,이웃집치과의원,치과의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 403,404호 (중동)",051-741-5151
408,신통한의원,한의원,부산광역시 해운대구 양운로 82 (좌동),051-701-2000
409,경희신한의원,한의원,"부산광역시 해운대구 해운대로 802, B동 303호 (좌동, 웅신시네아트)",051-701-3175
410,기생한의원,한의원,"부산광역시 해운대구 세실로 48, 211호 (좌동, 삼정코아)",051-722-7665
411,웰니스한의원,한의원,"부산광역시 해운대구 재반로 150 (재송동,반도스카이5층)",051-782-7571
412,센텀캘리포니아치과의원,치과의원,"부산광역시 해운대구 센텀2로 15, 502호 (우동, 센텀브라이빌딩)",051-746-0211
413,성모내과의원,의원,"부산광역시 해운대구 선수촌로 98 (반여동, 2층)",051-522-8575
414,민들레치과의원,치과의원,"부산광역시 해운대구 좌동로 96 (좌동, 블루수퀘어 A동 301호)",051-702-2875
415,우리재활의학과의원,의원,"부산광역시 해운대구 양운로 104 (좌동, 우리메디칼센터)",051-704-4114
416,화목치과의원,치과의원,"부산광역시 해운대구 세실로 64, 206,207호 (좌동, 화목데파트)",051-747-1411
417,아름다운내과의원,의원,"부산광역시 해운대구 좌동로 88, 701호 (좌동, 울트라타워)",051-701-6699
418,예담소아청소년과의원,의원,"부산광역시 해운대구 선수촌로 64 (반여동, 장산메디컬3층)",051-532-7511
419,센텀조은의원,의원,"부산광역시 해운대구 센텀북대로 60, 211호 (재송동, 센텀IS타워)",051-780-8877
420,길맥흉부외과의원,의원,"부산광역시 해운대구 센텀남대로 50, A1502호 (우동, 센템임페리얼타워빌딩)",051-754-9975
421,큐의원,의원,"부산광역시 해운대구 해운대로 277 (우동, 한성빌딩 4층)",051-746-7999
422,장튼튼내과의원,의원,"부산광역시 해운대구 재반로 213-1, 우리약국 2, 4층 (반여동)",051-784-2600
423,센텀척신경외과의원,의원,"부산광역시 해운대구 센텀2로 15 (우동, 센텀브라이언 5층,9층)",051-743-1300
424,반여한의원,한의원,"부산광역시 해운대구 선수촌로 179, 2층 (반여동)",051-522-7999
425,다나산부인과의원,의원,"부산광역시 해운대구 재반로 213 (반여동, 3층)",051-781-3900
426,예화인여성의원,의원,"부산광역시 해운대구 센텀2로 15 (우동, 센텀브라이언1동802호)",051-747-4500
427,유디치과의원,치과의원,"부산광역시 해운대구 해운대해변로298번길 24 (중동, 팔레드시즈 22,23,25,26)",051-743-2825
428,윤성준내과의원,의원,"부산광역시 해운대구 청사포로 16 (좌동, 락희상가 301호)",051-704-7721
429,장산부부한의원,한의원,부산광역시 해운대구 좌동순환로 80 (좌동),051-743-7075
430,센텀오딧세이치과의원,치과의원,"부산광역시 해운대구 해운대로 369, 9,10층 (우동, 해운대센텀메디칼센터)",051-743-2080
431,장팔팔내과의원,의원,"부산광역시 해운대구 해운대로 369, 해운대센텀메디칼센터 3,4층 (우동)",051-711-1088
432,바른정내과의원,의원,"부산광역시 해운대구 선수촌로 7, 201,301,601호 (반여동, 반여메디컬센터)",051-528-3400
433,센텀가정의원,의원,"부산광역시 해운대구 센텀동로 6, 3층 (우동, 삼성홈플러스)",051-609-8161
434,이브앤아담여성의원,의원,"부산광역시 해운대구 센텀2로 20, 센텀타워메디컬 1203호 (우동)",051-743-7585
435,플로라여성의원,의원,"부산광역시 해운대구 센텀2로 10, 403호 (우동, 센텀메디칼센터)",051-746-6120
436,센텀아이치과의원,치과의원,"부산광역시 해운대구 센텀중앙로 145 (재송동, 더샵센텀파크1차상가2동201호)",051-959-2875
437,킴스피부과의원,의원,"부산광역시 해운대구 센텀2로 10, 1001호 (우동, 센텀메디컬센터)",051-747-9699
438,황신경외과의원,의원,"부산광역시 해운대구 신반송로 208, 6층 (반송동)",051-543-7776
439,해운대구보건소 반송지소,보건지소,"부산광역시 해운대구 반송로 853 (반송동, 반송보건지소)",051-749-5792
440,박혜경내과의원,의원,"부산광역시 해운대구 센텀2로 10, 702호 (우동, 센텀메디컬센터)",051-731-7400
441,해운대센텀이비인후과의원,의원,"부산광역시 해운대구 해운대로 369, 8층 (우동, 해운대센텀메디칼센타)",051-747-6700
442,연세비뇨기과의원,의원,"부산광역시 해운대구 세실로 45, 305호 (좌동, 대승프라자)",051-702-0092
443,뷰티스피부과의원,의원,"부산광역시 해운대구 센텀2로 10, 602호 (우동, 센텀메디컬센타)",051-717-2645
444,모짜르트치과의원,치과의원,"부산광역시 해운대구 해운대로 802, 305호 (좌동, 웅진시네아트)",051-701-1616
445,오후한의원,한의원,"부산광역시 해운대구 마린시티2로 33, 104동 432호 (우동, 제니스스퀘어)",051-744-0678
446,아이공감정신건강의학과의원,의원,"부산광역시 해운대구 해운대로 369, 7층 (우동, 해운대센텀메디칼센타)",051-742-7515
447,삼성제일산부인과의원,의원,"부산광역시 해운대구 해운대로 369, 5층 (우동, 해운대센텀메디칼센타)",051-747-3999
448,자기치아살리기드림플란트치과의원,치과의원,부산광역시 해운대구 달맞이길 135 (중동),051-741-7528
449,박이비인후과의원,의원,"부산광역시 해운대구 선수촌로 102-2, 3층 (반여동, 부원메디칼센터)",051-532-7300
450,센텀일신소아청소년과의원,의원,"부산광역시 해운대구 센텀동로 90, 201호 (재송동, 센텀필2)",051-782-0002
451,미플러스센텀의원,의원,"부산광역시 해운대구 센텀남대로 50, A402호 (우동, 센텀임페리얼)",051-742-9003
452,신세계성형외과의원,의원,"부산광역시 해운대구 센텀남대로 50, 8층 802호 (우동, 센텀임페리얼타워)",051-743-6446
453,생기한의원,한의원,"부산광역시 해운대구 센텀3로 20, 벡스코 비지니스호텔 201호 (우동)",051-714-3112
454,장산한의원,한의원,"부산광역시 해운대구 해운대로383번길 45, 2층 (우동)",051-747-7709
455,더아름다운성형외과의원,의원,"부산광역시 해운대구 센텀2로 15, 601호 (우동, 센텀브라이언)",051-747-7774
456,이동윤한의원,한의원,부산광역시 해운대구 해운대로383번길 5 (우동),051-741-5566
457,산돌의원,의원,"부산광역시 해운대구 반여로167번길 76, 2,3층 (반여동)",051-522-1799
458,이&이치과의원,치과의원,"부산광역시 해운대구 해운대로 407, 503호 (우동, 신세계프라자)",051-558-2828
459,브니엘산부인과의원,의원,"부산광역시 해운대구 달맞이길 30, 포디움동 2층 2073호 (중동, 엘시티)",051-742-9977
460,고려신경외과의원,의원,"부산광역시 해운대구 재반로 199, 3층 (반여동, 새아빌딩)",051-532-0002
461,삼성한의원,한의원,"부산광역시 해운대구 재반로 257, 2층 (반여동)",051-781-0606
462,e-청담한의원,한의원,"부산광역시 해운대구 좌동순환로 181, 3층 (좌동, 진성빌딩)",051-701-5559
463,미소메디칼내과의원,의원,"부산광역시 해운대구 재반로 150, 301호 (재송동, 보라스카이타운)",051-784-5675
464,임안과의원,의원,"부산광역시 해운대구 신반송로 207, 4층 (반송동)",051-545-0015
465,덕바로치과의원,치과의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 5층 503~504호 (중동)",051-702-2806
466,좋은한의원,한의원,부산광역시 해운대구 선수촌로 86 (반여동),051-527-8254
467,재송남산의원,의원,"부산광역시 해운대구 재반로 153, 2층 (재송동)",051-781-1199
468,예일의원,의원,"부산광역시 해운대구 선수촌로 102-2, 6층 (반여동, 부원메디컬센터)",051-523-1003
469,마리나정형외과의원,의원,"부산광역시 해운대구 아랫반송로 12, 6~9층 (반송동)",051-731-0880
470,센텀한의원,한의원,"부산광역시 해운대구 센텀중앙로 145, 상가6동 215호 (재송동, 더샵센텀파크 1차@)",051-744-5475
471,센텀리더스치과의원,치과의원,"부산광역시 해운대구 센텀동로 90, 208,209호 (재송동, 센텀필2관)",051-783-3125
472,한사랑의원,의원,"부산광역시 해운대구 대천로67번길 4, 202,203호 (좌동, 해운대주공아파트상가)",051-731-0753
473,이화내과의원,의원,"부산광역시 해운대구 선수촌로 102-2, 4층 (반여동, 부원메디칼센터)",051-532-8575
474,신동백한의원,한의원,"부산광역시 해운대구 아랫반송로21번길 4, 2층 (반송동)",051-545-4500
475,누리마루한의원,한의원,"부산광역시 해운대구 마린시티3로 23 (우동, 벽산e오렌지프라자 309, 310호)",051-744-5959
476,편한세상한의원,한의원,"부산광역시 해운대구 세실로 64 (좌동, 화목데파트상가 202-1호)",051-702-5033
477,김수권치과의원,치과의원,"부산광역시 해운대구 센텀중앙로 145, 6동 216호 (재송동, 더샵센텀파크1차아파트)",051-743-2733
478,아름다운휴치과의원,치과의원,"부산광역시 해운대구 센텀중앙로 145, 6동 214호 (재송동, 더샵센텀파크상가)",051-744-3602
479,평화강한의원,한의원,"부산광역시 해운대구 선수촌로 102-2, 2층 (반여동, 부원메디칼빌딩)",051-529-7579
480,박성수소아청소년과의원,의원,"부산광역시 해운대구 해운대로38번길 70, 3층 302호 (재송동)",051-783-0220
481,조은마취통증의학과의원,의원,"부산광역시 해운대구 좌동순환로 174, 502호 (좌동, 거성프라자)",051-702-8816
482,해운대뉴욕치과의원,치과의원,"부산광역시 해운대구 양운로 82, 3층 (좌동, 화인크리닉센타)",051-703-2845
483,e화이트치과의원,치과의원,"부산광역시 해운대구 좌동순환로 182, 302호 (좌동, 명주빌딩)",051-702-7522
484,해운대봄한의원,한의원,"부산광역시 해운대구 중동2로 12-1, 5층 (중동)",051-743-2300
485,더화이트치과의원,치과의원,"부산광역시 해운대구 해운대로 632, 깨끗한 빌딩 6층 (우동)",051-742-7888
486,수정형외과의원,의원,"부산광역시 해운대구 해운대로 415, 5층 (우동)",051-711-7582
487,진안과의원,의원,"부산광역시 해운대구 재반로 82, 3층 (재송동)",051-783-1005
488,변의원,의원,"부산광역시 해운대구 재반로 85, 2층 (재송동)",051-784-5247
489,미소담치과의원,치과의원,"부산광역시 해운대구 재반로 150, 4층 (재송동)",051-783-7528
490,자연뜰한의원,한의원,"부산광역시 해운대구 해운대로 814 (좌동, 세종월드프라자A동 410호,411호,412호)",051-704-7911
491,삼성의원,의원,부산광역시 해운대구 반송로924번길 13-1 (반송동),051-542-1666
492,송정한의원,한의원,"부산광역시 해운대구 송정중앙로 19 (송정동, 코스마@ 상가101호)",051-703-1249
493,태성형외과의원,의원,"부산광역시 해운대구 구남로 27, 4층 (중동, 해운대오피스)",051-746-7004
494,우리의원,의원,"부산광역시 해운대구 해운대로 802, 301,307호 (좌동, 웅신시네아트)",051-703-6700
495,코코한의원,한의원,"부산광역시 해운대구 해운대로 802, 315호 (좌동, 웅신시네아트)",051-702-8253
496,해운대한의원,한의원,"부산광역시 해운대구 재반로 82, 1층 (재송동)",051-784-3136
497,사상한의원,한의원,부산광역시 해운대구 해운대로 375-3 (우동),051-747-9929
498,금호한의원,한의원,"부산광역시 해운대구 재반로 79, 1층 (재송동)",051-781-0965
499,예스유비뇨기과의원,의원,"부산광역시 해운대구 해운대로 802, 318호 (좌동, 웅신시네아트)",051-702-8884
500,서울파티마의원,의원,"부산광역시 해운대구 센텀2로 19 (우동,센텀코아 2층)",051-747-0035
501,참밝은안과의원,의원,"부산광역시 해운대구 아랫반송로 12, 5층 (반송동)",051-544-7754
502,고운비뇨기과의원,의원,"부산광역시 해운대구 재반로 89, 2층 (재송동)",051-783-7582
503,김미란산부인과의원,의원,"부산광역시 해운대구 재반로 82, 2층 (재송동, 장안빌딩)",051-781-7877
504,참조은내과의원,의원,"부산광역시 해운대구 재반로 82 (재송동, 장안빌딩 1층)",051-781-1080
505,동인당한의원,한의원,부산광역시 해운대구 재송2로 30 (재송동),051-784-4515
506,하늘빛안과의원,의원,"부산광역시 해운대구 선수촌로 109-1, 2층 (반여동, 아시아드몰)",051-522-9393
