순번,의료기관명,의료기관종별,의료기관주소(도로명),의료기관전화번호
507,인동한의원,한의원,부산광역시 해운대구 중동1로 44 (중동),051-742-3003
508,정혜인치과의원,치과의원,"부산광역시 해운대구 해운대로 428, 209호 (우동, 동부올림픽타운상가)",051-747-2897
509,우리치과의원,치과의원,부산광역시 해운대구 반송로924번길 14-2 (반송동),051-543-7528
510,치아사랑치과의원,치과의원,"부산광역시 해운대구 선수촌로 92, 3층 (반여동)",051-522-4655
511,뉴욕아름다운치과의원,치과의원,"부산광역시 해운대구 좌동순환로 506, 604호 (중동, 영풍리젠시)",051-731-7512
512,박준형피부과의원,의원,"부산광역시 해운대구 해운대로 409, 501호 (우동, 굿팀메디털)",051-746-7547
513,로얄키즈소아청소년과의원,의원,"부산광역시 해운대구 양운로 82, 604호 (좌동, 화인크리닉센터)",051-704-0411
514,아침한의원,한의원,"부산광역시 해운대구 세실로 48, 207호 (좌동)",051-704-8875
515,센텀월드치과의원,치과의원,"부산광역시 해운대구 해운대로 381-3, 2층 (우동)",051-747-7528
516,서울마취통증의학과의원,의원,"부산광역시 해운대구 센텀2로 20, 1303호 (우동, 센텀타워메디칼)",051-742-6275
517,경동한의원,한의원,"부산광역시 해운대구 좌동순환로 503 (중동, 웰비치상가)",051-741-8312
518,부산예치과의원,치과의원,"부산광역시 해운대구 센텀3로 20, 벡스코 비지니스호텔 207-4호 (우동)",051-741-7790
519,가원치과의원,치과의원,"부산광역시 해운대구 선수촌로 98, 2층 (반여동, 경산빌딩)",051-524-2080
520,CDC해운대어린이치과의원,치과의원,"부산광역시 해운대구 좌동순환로 506, 804호 (중동, 영풍리젠시)",051-746-1275
521,이사랑치과의원,치과의원,"부산광역시 해운대구 재반로 213, 3층 (반여동)",051-781-2802
522,약손한의원,한의원,"부산광역시 해운대구 해운대로81번길 12, 2층 (재송동)",051-543-0102
523,라이프치과의원,치과의원,부산광역시 해운대구 중동1로 17 (중동),051-746-8575
524,이지소아청소년과의원,의원,"부산광역시 해운대구 반여로 131, 307호 (반여동, 아시아선수촌프레스센)",051-527-7170
525,이롬치과의원,치과의원,"부산광역시 해운대구 반여로 104-10, 305호 (반여동, 아시아선수촌프레스센터)",051-526-3590
526,늘편한내과의원,의원,"부산광역시 해운대구 반여로 131, 306호 (반여동, 프레스상가)",051-521-3036
527,우리치과의원,치과의원,"부산광역시 해운대구 해운대로 636, 2,3층 (우동)",051-746-2875
528,세현마취통증의학과의원,의원,"부산광역시 해운대구 해운대로 637, 2층 (우동, 메디현대빌딩)",051-743-7570
529,함소아한의원,한의원,"부산광역시 해운대구 양운로 98, 6층 (좌동, 대하프라자)",051-704-3366
530,플라워치과의원,치과의원,"부산광역시 해운대구 해운대해변로 154, 2층 (우동, 마리나센터)",051-747-2275
531,부산제일의원,의원,부산광역시 해운대구 재반로 231 (반여동),051-782-2661
532,영재치과의원,치과의원,부산광역시 해운대구 우동2로 50-12 (우동),051-741-6757
533,한마음한의원,한의원,부산광역시 해운대구 양운로 122 (좌동),051-704-4575
534,강보승이비인후과의원,의원,부산광역시 해운대구 구남로29번길 26 (중동),051-744-2718
535,손영찬정형외과의원,의원,"부산광역시 해운대구 좌동순환로 173, 7층 (좌동, 영풍프라자)",051-703-0017
536,한솔치과의원,치과의원,부산광역시 해운대구 아랫반송로21번길 8 (반송동),051-545-2275
537,행복한내과의원,의원,"부산광역시 해운대구 중동1로 26, 2,3층 (중동, 행복한메디칼)",051-741-3311
538,평거한의원,한의원,"부산광역시 해운대구 좌동순환로 174 (좌동, 거성프라자 201호)",051-703-1275
539,마린성형외과의원,의원,"부산광역시 해운대구 구남로29번길 32, 3층 (중동, 해운대빌딩)",051-747-9555
540,제네시스성형외과의원,의원,"부산광역시 해운대구 해운대해변로 257, 하버타운 1305~1308호 (우동)",051-740-6545
541,참조은치과의원,치과의원,"부산광역시 해운대구 중동1로 31, 2층 (중동)",051-741-3210
542,선한한의원,한의원,"부산광역시 해운대구 청사포로 16, 201호 (좌동)",051-702-1075
543,바로치과의원,치과의원,"부산광역시 해운대구 해운대해변로 83, 4층 (우동, 경남마리나상가)",051-747-2280
544,세프치과의원,치과의원,"부산광역시 해운대구 해운대해변로 257, 707호 (우동)",051-915-2828
545,최가정의학과의원,의원,"부산광역시 해운대구 재반로 248, 2층 (반여동)",051-783-9170
546,바스키아의원,의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 401~402호 (중동)",051-742-6370
547,뉴센치과의원,치과의원,"부산광역시 해운대구 해운대로38번길 70, 3층 (재송동)",051-782-2875
548,서울외과의원,의원,"부산광역시 해운대구 양운로 82, 해운대화인크리닉센타 5층 502호 (좌동)",051-704-7273
549,아이비치과의원,치과의원,"부산광역시 해운대구 좌동순환로 307-1, 3층 (좌동, 한창플라자)",051-702-2727
550,선치과의원,치과의원,부산광역시 해운대구 재반로 221 (반여동),051-781-2875
551,경세민한의원,한의원,"부산광역시 해운대구 해운대로 814, A동 2층 (좌동, 세종월드프라자)",051-701-3100
552,카멜리아한의원,한의원,"부산광역시 해운대구 마린시티1로 167, 202~5호 (우동, 현대카멜리아)",051-743-7525
553,느티나무내과의원,의원,"부산광역시 해운대구 해운대해변로 83, 402호 (우동, 경남마리나상가)",051-743-1275
554,강정신건강의학과의원,의원,"부산광역시 해운대구 양운로 82, 801호 (좌동, 화인크리닉)",051-701-2772
555,참신경외과의원,의원,부산광역시 해운대구 선수촌로 65-29 (반여동),051-531-1119
556,소마한의원,한의원,"부산광역시 해운대구 해운대로 620, 해운대 라뮤에뜨 227호 (우동)",051-784-7637
557,순백피부과의원,의원,"부산광역시 해운대구 해운대로 637, 4층 (우동, 메디현대빌딩)",051-743--990
558,정혜경소아청소년과의원,의원,"부산광역시 해운대구 삼어로 61, 204호 (반여동, 우방신세계타운주상가)",051-521-1680
559,대운한의원,한의원,"부산광역시 해운대구 양운로 182 (좌동, 두산1차@주상가동 207,208호)",051-704-7524
560,김승한의원,한의원,부산광역시 해운대구 재반로 249 (반여동),051-782-8275
561,리베라치과의원,치과의원,"부산광역시 해운대구 구남로29번길 26, 4층 (중동, 해운빌딩)",051-747-7582
562,해운대산부인과의원,의원,부산광역시 해운대구 중동1로 30 (중동),051-746-0707
563,세지한의원,한의원,"부산광역시 해운대구 해운대로 637, 5층 (우동)",051-741-7597
564,의료법인 열린의료재단 해운대열린의원,의원,"부산광역시 해운대구 마린시티3로 1, 316-320호 (우동, 썬프라자)",051-731-0626
565,구순본정형외과의원,의원,"부산광역시 해운대구 좌동순환로 441, 2~3, 5~6층 (중동, 부산중2동우편취급국)",051-742-8005
566,해운대남산내과의원,의원,"부산광역시 해운대구 센텀2로 25, 8층 801호 (우동, 센텀드림월드)",051-746-1661
567,천초한의원,한의원,"부산광역시 해운대구 반송로924번길 13, 2층 (반송동)",051-545-7272
568,허준이비인후과의원,의원,"부산광역시 해운대구 센텀2로 20, 1204호 (우동, 센텀타워메디칼)",051-781-6226
569,아름다운피부과의원,의원,"부산광역시 해운대구 해운대로 802, 313호 (좌동, 웅신시네아트)",051-702-8575
570,맥한의원,한의원,"부산광역시 해운대구 해운대해변로 83, 404호 (우동, 경남마리나상가)",051-743-6184
571,예일치과의원,치과의원,"부산광역시 해운대구 청사포로 16, 404호 (좌동, 락희상가)",051-702-1616
572,서울피부과의원,의원,"부산광역시 해운대구 해운대해변로 154, 마리나센타 502호 (우동)",051-746-6345
573,정내과의원,의원,"부산광역시 해운대구 좌동순환로 173, 502호 (좌동, 영풍프라자)",051-702-7533
574,하얀나라피부과의원,의원,"부산광역시 해운대구 양운로 82, 501호 (좌동, 화인크리닉)",051-704-7057
575,연세메디컬의원,의원,"부산광역시 해운대구 해운대해변로 163, 상가동 201,202호 (우동, 현대베네시티아파트)",051-743-2328
576,신세기이비인후과의원,의원,"부산광역시 해운대구 세실로 43, 301호 (좌동)",051-704-0370
577,신세계신경외과의원,의원,"부산광역시 해운대구 좌동순환로 505, 7층 704호~708호 (중동)",051-747-0651
578,배광열소아청소년과의원,의원,부산광역시 해운대구 재반로 83 (재송동),051-782-4146
579,노선화산부인과의원,의원,"부산광역시 해운대구 좌동순환로 173, 301호 (좌동, 영풍프라자)",051-702-9008
580,부강비뇨의학과의원,의원,"부산광역시 해운대구 좌동순환로 505, 센트럴메디타워 307호, 308호 (중동)",051-747-7200
581,이종철치과의원,치과의원,부산광역시 해운대구 재반로 239 (반여동),051-784-2875
582,비타민피부과의원,의원,"부산광역시 해운대구 좌동순환로 173, 8층 (좌동, 영풍프라자)",051-704-8275
583,21세기치과의원,치과의원,"부산광역시 해운대구 해운대로 814, B동 424호 (좌동, 세종월드)",051-703-7533
584,해운대가족의원,의원,부산광역시 해운대구 우동2로 16 (우동),051-747-9992
585,새아여성의원,의원,"부산광역시 해운대구 재반로 199, 4층 (반여동, 새아빌딩)",051-782-7332
586,해원산부인과의원,의원,부산광역시 해운대구 운봉길 3 (반송동),051-545-1217
587,바른이치과의원,치과의원,부산광역시 해운대구 양운로42번길 20 (좌동),051-703-5035
588,탑서울치과의원,치과의원,"부산광역시 해운대구 좌동순환로 178, 한솔빌딩 3층 (좌동)",051-702-2800
589,프랜드정치과의원,치과의원,"부산광역시 해운대구 세실로 43, 305호 (좌동)",051-702-7744
590,연세이비인후과의원,의원,"부산광역시 해운대구 양운로 82, 402호 (좌동, 화인크리닉)",051-703-7582
591,강치과의원,치과의원,부산광역시 해운대구 신반송로 207 (반송동),051-542-2220
592,김내과의원,의원,"부산광역시 해운대구 세실로 43, 401,403,405,406호 (좌동, 경동코아)",051-703-7010
593,오이비인후과의원,의원,"부산광역시 해운대구 좌동순환로 307-1, 202호 (좌동, 한창프라자)",051-703-5200
594,김현경안과의원,의원,"부산광역시 해운대구 좌동순환로 174, 303호 (좌동, 거성프라자)",051-702-7788
595,서울안과의원,의원,"부산광역시 해운대구 세실로 43, 306호 (좌동, 경동코아빌딩)",051-702-7575
596,세민정형외과의원,의원,"부산광역시 해운대구 중동1로 15-2, 2층 (우동)",051-743-5731
597,누리사랑외과소아청소년과의원,의원,"부산광역시 해운대구 해운대로 415, 3층 (우동)",051-747-7550
598,열린치과의원,치과의원,부산광역시 해운대구 신반송로 208 (반송동),051-544-2875
599,금강치과의원,치과의원,"부산광역시 해운대구 좌동순환로 301, 201호 (좌동)",051-704-2875
600,고내과의원,의원,"부산광역시 해운대구 좌동순환로 307-1, 201호 (좌동, 한창프라자)",051-701-7666
601,조만종내과·김정호외과의원,의원,부산광역시 해운대구 신반송로 207 (반송동),051-542-0041
602,예인치과의원,치과의원,"부산광역시 해운대구 중동2로 16, 3층 (중동, 해운대온천센타)",051-746-6221
603,이인훈소아청소년과의원,의원,"부산광역시 해운대구 좌동순환로 301, 3층 (좌동, 금강빌딩)",051-703-0075
604,최영주산부인과의원,의원,"부산광역시 해운대구 해운대로 802, B동 302호 (좌동, 웅신시네아트)",051-704-2020
605,김중규의원,의원,부산광역시 해운대구 재송2로 31 (재송동),051-784-9403
606,나라치과의원,치과의원,"부산광역시 해운대구 좌동순환로 457, 401호 (중동,백송오피스텔)",051-731-2875
607,우내과의원,의원,"부산광역시 해운대구 좌동순환로 309, 202호 (좌동)",051-701-5138
608,해운대정신건강의학과의원,의원,부산광역시 해운대구 구남로29번길 38 (중동),051-746-1585
609,정경민치과의원,치과의원,"부산광역시 해운대구 해운대로 793, 2층 208호 (좌동, 자생한방병원)",051-701-0004
610,부산광역시해운대구보건소,보건소,부산광역시 해운대구 양운로37번길 59 (좌동),051-749-7501
611,문훈치과의원,치과의원,부산광역시 해운대구 재반로 253-1 (반여동),051-781-9917
612,김준호안과의원,의원,"부산광역시 해운대구 양운로 82, 404호 (좌동, 화인크리닉센타)",051-702-4110
613,해운대윤정형외과의원,의원,"부산광역시 해운대구 양운로 82, 해운대화인크리닉센타 7층 701~704호 (좌동)",051-702-0114
614,위앤장내과의원,의원,"부산광역시 해운대구 양운로 82, 10층 601,602호 (좌동, 화인크리닉센타)",051-702-0675
615,일승한의원,한의원,"부산광역시 해운대구 세실로 45, 405호 (좌동, 대승프라자)",051-702-5180
616,정앤김이비인후과의원,의원,"부산광역시 해운대구 좌동순환로 174, 거성빌딩 402,802일부,901,902호 (좌동)",051-702-3937
617,중외부부한의원,한의원,"부산광역시 해운대구 우동1로20번길 77, 2층 (우동)",051-741-8471
618,월드치과의원,치과의원,"부산광역시 해운대구 좌동순환로 173, 602호 (좌동, 월드프라자)",051-701-2564
619,고운치과의원,치과의원,"부산광역시 해운대구 좌동순환로 177, 제일빌딩 2층 (좌동)",051-702-2275
620,채요한이비인후과의원,의원,부산광역시 해운대구 신반송로 207 (반송동),051-541-2929
621,지창하비뇨기과의원,의원,"부산광역시 해운대구 좌동순환로 174, 302호 (좌동, 거성프라자)",051-702-2017
622,고운피부과의원,의원,"부산광역시 해운대구 구남로29번길 26, 2층 (중동)",051-746-0243
623,황내과의원,의원,"부산광역시 해운대구 좌동순환로 174, 401호 (좌동, 거성프라자)",051-702-6565
624,소망한의원,한의원,"부산광역시 해운대구 양운로 108, 3층 (좌동)",051-702-0515
625,선재부부치과의원,치과의원,부산광역시 해운대구 세실로 48 (좌동),051-702-2828
626,김동훈한의원,한의원,부산광역시 해운대구 재반로 85 (재송동),051-781-2317
627,병인한의원,한의원,부산광역시 해운대구 선수촌로 51 (반여동),051-528-0180
628,유상한의원,한의원,"부산광역시 해운대구 달맞이길65번길 15, 201호 (중동, 협진상가)",051-742-3472
629,권순완소아청소년과의원,의원,"부산광역시 해운대구 선수촌로 94, 201호 (반여동, 대룡빌딩)",051-528-6914
630,서울수치과의원,치과의원,"부산광역시 해운대구 해운대로 814, 310호 (좌동, 세종월드프라자)",051-742-2875
631,재송부부치과의원,치과의원,부산광역시 해운대구 재반로 83 (재송동),051-784-7285
632,해운대치과의원,치과의원,"부산광역시 해운대구 중동2로 12-1, 4층 (중동, 우리은행)",051-743-1355
633,아이들치과의원,치과의원,"부산광역시 해운대구 마린시티3로 1, 339호 (우동, 선프라자오피스텔)",051-747-1317
634,이내과의원,의원,"부산광역시 해운대구 아랫반송로 12, 3층 (반송동)",051-544-9137
635,김상민이비인후과의원,의원,"부산광역시 해운대구 재반로 82, 3층 (재송동, 김상민이비인후과의원)",051-782-2656
636,해인의원,의원,부산광역시 해운대구 신반송로 197 (반송동),051-541-0450
637,삼진한의원,한의원,"부산광역시 해운대구 구남로29번길 38, 6층 (중동, 혜천빌딩)",051-742-6688
638,오정세치과의원,치과의원,"부산광역시 해운대구 좌동로 98, 2동 401,402호 (좌동, 디베르비타)",051-701-2379
639,태극한의원,한의원,부산광역시 해운대구 우동1로 75 (우동),051-741-7625
640,수생한의원,한의원,"부산광역시 해운대구 선수촌로 4, 1층 (반여동, 수생한의원)",051-525-7575
641,김민수비뇨기과의원,의원,"부산광역시 해운대구 해운대로61번길 106, 2층 (반여동)",051-782-9565
642,동남치과의원,치과의원,"부산광역시 해운대구 해운대로 600, 3층 (우동)",051-741-9275
643,서성국안과의원,의원,부산광역시 해운대구 재반로 198-1 (반여동),051-783-7987
644,문내과의원,의원,부산광역시 해운대구 재반로 193-1 (반여동),051-784-2227
645,선경한의원,한의원,"부산광역시 해운대구 양운로 98 (좌동,대하프라자 2층)",051-742-1091
646,김영삼치과의원,치과의원,부산광역시 해운대구 송정중앙로 17 (송정동),051-703-9369
647,우리들치과의원,치과의원,"부산광역시 해운대구 재반로 116, 3층 (재송동)",051-783-2340
648,김동균이비인후과의원,의원,부산광역시 해운대구 재반로 200 (반여동),051-781-0023
649,박주원치과의원,치과의원,"부산광역시 해운대구 선수촌로 102, 3층 (반여동, 부원빌딩)",051-529-7434
650,프랜드치과의원,치과의원,"부산광역시 해운대구 재반로 227, 3층 (반여동, 수협)",051-783-2875
651,세진한의원,한의원,부산광역시 해운대구 재반로 111 (재송동),051-781-0983
652,미의원,의원,"부산광역시 해운대구 아랫반송로 12, 4층 (반송동)",051-545-3458
653,내츄럴치과의원,치과의원,"부산광역시 해운대구 마린시티3로 23 (우동, 벽산e오렌지프라자)",051-731-2575
654,이재호치과의원,치과의원,부산광역시 해운대구 해운대로161번길 45-1 (재송동),051-782-7528
655,늘푸른치과의원,치과의원,부산광역시 해운대구 재반로 206 (반여동),051-783-0224
656,오치과의원,치과의원,부산광역시 해운대구 중동1로19번길 15 (중동),051-746-1216
657,세광치과의원,치과의원,부산광역시 해운대구 반송로924번길 25-2 (반송동),051-543-2875
658,권내과의원,의원,부산광역시 해운대구 반송로924번길 14 (반송동),051-542-5666
659,한선한의원,한의원,"부산광역시 해운대구 해운대로 407 (우동, 프라자빌딩 501호, 502호)",051-743-6796
660,이준희정형외과의원,의원,부산광역시 해운대구 아랫반송로 37 (반송동),051-543-9564
661,최성철내과의원,의원,"부산광역시 해운대구 선수촌로 64, 2층 (반여동)",051-528-8844
662,문한의원,한의원,"부산광역시 해운대구 좌동순환로 245, 5층 (좌동, 성암빌딩)",051-702-7889
663,이치과의원,치과의원,"부산광역시 해운대구 해운대로 637, 3층 (우동, 메디현대빌딩)",051-743-2826
664,정두윤치과의원,치과의원,부산광역시 해운대구 해운대로161번길 43-1 (재송동),051-781-6130
665,조영치과의원,치과의원,"부산광역시 해운대구 해운대로 802, 웅신시네아트 A동 311호 (좌동)",051-746-2525
666,미시간치과의원,치과의원,"부산광역시 해운대구 재반로 82, 2층 (재송동, 장안빌딩)",051-782-0075
667,조성호정형외과의원,의원,부산광역시 해운대구 해운대로91번길 10 (재송동),051-782-1301
668,조옥인치과의원,치과의원,"부산광역시 해운대구 좌동순환로 309, 401호 (좌동, 삼성프라자)",051-703-2875
669,윤치과의원,치과의원,부산광역시 해운대구 해운대로 652 (우동),051-742-3525
670,반송한의원,한의원,부산광역시 해운대구 윗반송로31번길 97 (반송동),051-542-9090
671,박영내과의원,의원,"부산광역시 해운대구 재반로 221-1, 2층 (반여동)",051-782-4435
672,전광남정형외과의원,의원,"부산광역시 해운대구 선수촌로 8-2, 1,2층 (반여동)",051-527-8800
673,반송치과의원,치과의원,"부산광역시 해운대구 반송로 926 (반송동, 반송치과의원)",051-542-5040
674,유재상내과의원,의원,부산광역시 해운대구 아랫반송로21번길 26 (반송동),051-543-9001
675,드림내과의원,의원,"부산광역시 해운대구 중동1로 32, 2층 (중동)",051-742-9200
676,바다치과의원,치과의원,"부산광역시 해운대구 양운로 98, 306호 (좌동, 대하프라자)",051-704-1584
677,한미치과의원,치과의원,부산광역시 해운대구 선수촌로 55 (반여동),051-524-2875
678,김대석외과의원,의원,부산광역시 해운대구 반송로 896 (반송동),051-542-8844
679,고의영치과의원,치과의원,"부산광역시 해운대구 재반로 193-1, 3층 (반여동)",051-783-2636
680,조경일안과의원,의원,부산광역시 해운대구 구남로29번길 38 (중동),051-747-4656
681,이헌용외과의원,의원,"부산광역시 해운대구 선수촌로 165, 1~2층 (반여동)",051-523-8254
682,산수한의원,한의원,부산광역시 해운대구 아랫반송로21번길 38 (반송동),051-524-1794
683,해운대이비인후과의원,의원,부산광역시 해운대구 구남로29번길 38 (중동),051-746-8494
684,최치과의원,치과의원,"부산광역시 해운대구 구남로29번길 38, 혜천빌딩 4층 (중동)",051-746-3747
685,서울치과의원,치과의원,"부산광역시 해운대구 선수촌로 53, 2~3층 (반여동)",051-544-5692
686,김양규한의원,한의원,부산광역시 해운대구 재반로 213-1 (반여동),051-781-6934
687,양현식치과의원,치과의원,부산광역시 해운대구 중동1로 35 (중동),051-746-2245
688,이성근치과의원,치과의원,"부산광역시 해운대구 선수촌로 51, 2층 (반여동)",051-523-4789
689,정경한의원,한의원,"부산광역시 해운대구 중동1로 12, 6층 (우동)",051-746-4018
690,세강한의원,한의원,부산광역시 해운대구 해운대로61번길 103 (반여동),051-783-1605
